Player,Team,Position,Salary,Years,Total Value,Average Annual
"Hoskins, Rhys",MIL,1B,"$12,000,000",2,"$34,000,000","$17,000,000"
"Gibson, Kyle",STL,RHP,"$12,000,000",1,"$12,000,000","$12,000,000"
"Rogers, Taylor",SF,LHP,"$12,000,000",3,"$33,000,000","$11,000,000"
"Garcia, Avisail",MIA,OF,"$12,000,000",4,"$53,000,000","$13,250,000"
"Kimbrel, Craig",BAL,RHP,"$12,000,000",1,"$12,000,000","$12,000,000"
"McCann, James",BAL,C,"$12,000,000",4,"$40,600,000","$10,150,000"
"Gonzales, Marco",PIT,LHP,"$12,000,000",4,"$30,000,000","$7,500,000"
"McMahon, Ryan",COL,3B,"$12,000,000",6,"$70,000,000","$11,666,667"
"Senzatela, Antonio",COL,RHP,"$12,000,000",5,"$50,500,000","$10,100,000"
"DeSclafani, Anthony",MIN,RHP,"$12,000,000",3,"$36,000,000","$12,000,000"
"Tatis Jr., Fernando",SD,OF,"$11,714,286",14,"$340,000,000","$24,285,714.29"
"Santander, Anthony",BAL,OF,"$11,700,000",1,"$11,700,000","$11,700,000"
"Montero, Rafael",HOU,RHP,"$11,500,000",3,"$34,500,000","$11,500,000"
"Hoerner, Nico",CHC,2B,"$11,500,000",3,"$35,000,000","$11,666,667"
"Canha, Mark",DET,OF,"$11,500,000",1,"$11,500,000","$11,500,000"
"Stephenson, Robert",LAA,RHP,"$11,000,000",3,"$33,000,000","$11,000,000"
"Suarez, Eugenio",ARI,3B,"$11,000,000",7,"$66,000,000","$9,428,571.43"
"Crawford, J.P.",SEA,SS,"$11,000,000",5,"$51,000,000","$10,200,000"
"Eflin, Zach",TB,RHP,"$11,000,000",3,"$40,000,000","$13,333,333"
"Walker, Christian",ARI,1B,"$10,900,000",1,"$10,900,000","$10,900,000"
"Alvarez, Yordan",HOU,DH,"$10,833,333",6,"$115,000,000","$19,166,667"
"Arraez, Luis",MIA,2B,"$10,600,000",1,"$10,600,000","$10,600,000"
"Green, Chad",TOR,RHP,"$10,500,000",2,"$8,500,000","$4,250,000"
"Kiermaier, Kevin",TOR,OF,"$10,500,000",1,"$10,500,000","$10,500,000"
"Smyly, Drew",CHC,LHP,"$10,500,000",2,"$19,000,000","$9,500,000"
"Garver, Mitch",SEA,DH,"$10,500,000",2,"$24,000,000","$12,000,000"
"Polanco, Jorge",SEA,2B,"$10,500,000",1,"$10,500,000","$10,500,000"
"Bader, Harrison",NYM,OF,"$10,500,000",1,"$10,500,000","$10,500,000"
"Chapman, Aroldis",PIT,LHP,"$10,500,000",1,"$10,500,000","$10,500,000"
"McNeil, Jeff",NYM,2B,"$10,250,000",4,"$50,000,000","$12,500,000"
"Reynolds, Bryan",PIT,OF,"$10,250,000",8,"$106,750,000","$13,343,750"
"Hicks, Aaron",LAA,OF,"$10,240,000",7,"$70,000,000","$10,000,000"
"Gallen, Zac",ARI,RHP,"$10,011,000",1,"$10,011,000","$10,011,000"
"Kikuchi, Yusei",TOR,LHP,"$10,000,000",3,"$36,000,000","$12,000,000"
"Gray, Sonny",STL,RHP,"$10,000,000",3,"$75,000,000","$25,000,000"
"Lynn, Lance",STL,RHP,"$10,000,000",1,"$10,000,000","$10,000,000"
"Gurriel Jr., Lourdes",ARI,OF,"$10,000,000",3,"$42,000,000","$14,000,000"
"Cobb, Alex",SF,RHP,"$10,000,000",1,"$10,000,000","$10,000,000"
"Soler, Jorge",SF,DH,"$10,000,000",3,"$42,000,000","$14,000,000"
"Suarez, Robert",SD,RHP,"$10,000,000",5,"$46,000,000","$9,200,000"
"Marquez, German",COL,RHP,"$10,000,000",2,"$20,000,000","$10,000,000"
"Kepler, Max",MIN,OF,"$10,000,000",1,"$10,000,000","$10,000,000"
"Margot, Manuel",MIN,OF,"$10,000,000",1,"$10,000,000","$10,000,000"
"Vazquez, Christian",MIN,C,"$10,000,000",3,"$30,000,000","$10,000,000"
"Imanaga, Shota",CHC,LHP,"$9,500,000",4,"$53,000,000","$13,250,000"
"Pederson, Joc",ARI,OF,"$9,500,000",1,"$9,500,000","$9,500,000"
"Muncy, Max",LAD,3B,"$9,500,000",2,"$24,000,000","$12,000,000"
"Martin, Chris",BOS,RHP,"$9,500,000",2,"$17,500,000","$8,750,000"
"Bard, Daniel",COL,RHP,"$9,500,000",1,"$9,500,000","$9,500,000"
"Alcantara, Sandy",MIA,RHP,"$9,300,000",5,"$56,000,000","$11,200,000"
"Yamamoto, Yoshinobu",LAD,RHP,"$9,166,667",12,"$325,000,000","$27,083,333"
"Alvarado, Jose",PHI,LHP,"$9,025,000",3,"$22,000,000","$11,000,000"
"Moore, Matt",LAA,LHP,"$9,000,000",1,"$9,000,000","$9,000,000"
"Murphy, Sean",ATL,C,"$9,000,000",6,"$73,000,000","$12,166,667"
"Neris, Hector",CHC,RHP,"$9,000,000",1,"$9,000,000","$9,000,000"
"Heyward, Jason",LAD,OF,"$9,000,000",1,"$9,000,000","$9,000,000"
"Lowe, Brandon",TB,2B,"$8,750,000",6,"$24,000,000","$4,000,000"
"Verdugo, Alex",NYY,OF,"$8,700,000",1,"$8,700,000","$8,700,000"
"Drury, Brandon",LAA,DH,"$8,500,000",2,"$17,000,000","$8,500,000"
"Wood, Alex",OAK,LHP,"$8,500,000",1,"$8,500,000","$8,500,000"
"Miley, Wade",MIL,LHP,"$8,500,000",1,"$8,500,000","$8,500,000"
"Kelly, Merrill",ARI,RHP,"$8,500,000",2,"$18,000,000","$9,000,000"
"Lyles, Jordan",KC,RHP,"$8,500,000",2,"$17,000,000","$8,500,000"
"Robertson, David",TEX,RHP,"$8,283,253",1,"$8,283,253","$8,283,253"
"Lee, Jung-Hoo",SF,OF,"$8,250,000",6,"$113,000,000","$18,833,333"
"Lopez, Pablo",MIN,RHP,"$8,250,000",4,"$73,500,000","$18,375,000"
"Arozarena, Randy",TB,OF,"$8,100,000",1,"$8,100,000","$8,100,000"
"Buehler, Walker",LAD,RHP,"$8,025,000",1,"$8,025,000","$8,025,000"
"Graveman, Kendall",HOU,RHP,"$8,000,000",3,"$24,000,000","$8,000,000"
"Diaz, Aledmys",OAK,INF,"$8,000,000",2,"$14,500,000","$7,250,000"
"d'Arnaud, Travis",ATL,C,"$8,000,000",1,"$8,000,000","$8,000,000"
"Jimenez, Joe",ATL,RHP,"$8,000,000",3,"$26,000,000","$8,666,667"
"Kelly, Joe",LAD,RHP,"$8,000,000",1,"$8,000,000","$8,000,000"
"Webb, Logan",SF,RHP,"$8,000,000",5,"$90,000,000","$18,000,000"
"Cease, Dylan",SD,RHP,"$8,000,000",1,"$8,000,000","$8,000,000"
"Kim, Ha-Seong",SD,SS,"$8,000,000",4,"$28,000,000","$7,000,000"
"Perez, Martin",PIT,LHP,"$8,000,000",1,"$8,000,000","$8,000,000"
"Diaz, Yandy",TB,1B,"$8,000,000",3,"$24,000,000","$8,000,000"
"Pagan, Emilio",CIN,RHP,"$8,000,000",2,"$16,000,000","$8,000,000"
"Yastrzemski, Mike",SF,OF,"$7,900,000",1,"$7,900,000","$7,900,000"
"Romano, Jordan",TOR,RHP,"$7,750,000",1,"$7,750,000","$7,750,000"
"Kiner-Falefa, Isiah",TOR,3B,"$7,500,000",2,"$15,000,000","$7,500,000"
"Strahm, Matt",PHI,LHP,"$7,500,000",2,"$15,000,000","$7,500,000"
"Lowe, Nate",TEX,1B,"$7,500,000",1,"$7,500,000","$7,500,000"
"Pivetta, Nick",BOS,RHP,"$7,500,000",1,"$7,500,000","$7,500,000"
"Fedde, Erick",CWS,RHP,"$7,500,000",2,"$15,000,000","$7,500,000"
"Javier, Cristian",HOU,RHP,"$7,400,000",5,"$64,000,000","$12,800,000"
"Sewald, Paul",ARI,RHP,"$7,350,000",1,"$7,350,000","$7,350,000"
"Cronenworth, Jake",SD,1B,"$7,285,714",7,"$80,000,000","$11,428,571"
"Albies, Ozzie",ATL,2B,"$7,000,000",7,"$35,000,000","$5,000,000"
"Johnson, Pierce",ATL,RHP,"$7,000,000",2,"$14,250,000","$7,125,000"
"Williams, Devin",MIL,RHP,"$7,000,000",1,"$7,000,000","$7,000,000"
"Edman, Tommy",STL,SS,"$7,000,000",2,"$16,500,000","$8,250,000"
"Paxton, James",LAD,LHP,"$7,000,000",1,"$7,000,000","$7,000,000"
"Narvaez, Omar",NYM,C,"$7,000,000",2,"$15,000,000","$7,500,000"
"Williams, Trevor",WSH,RHP,"$7,000,000",2,"$13,000,000","$6,500,000"
"Merrifield, Whit",PHI,INF,"$7,000,000",1,"$7,000,000","$7,000,000"
"Hayes, Ke'Bryan",PIT,3B,"$7,000,000",8,"$70,000,000","$8,750,000"
"Stassi, Max",CWS,C,"$7,000,000",3,"$17,500,000","$5,833,333.33"
"France, Ty",SEA,1B,"$6,775,000",1,"$6,775,000","$6,775,000"
"Estevez, Carlos",LAA,RHP,"$6,750,000",2,"$13,500,000","$6,750,000"
"Barlow, Scott",CLE,RHP,"$6,700,000",1,"$6,700,000","$6,700,000"
"Naylor, Josh",CLE,1B,"$6,550,000",1,"$6,550,000","$6,550,000"
"Quantrill, Cal",COL,RHP,"$6,550,000",1,"$6,550,000","$6,550,000"
"Flores, Wilmer",SF,SS,"$6,500,000",1,"$6,500,000","$6,500,000"
"Hicks, Jordan",SF,RHP,"$6,500,000",4,"$44,000,000","$11,000,000"
"Jackson, Luke",SF,RHP,"$6,500,000",2,"$11,500,000","$5,750,000"
"Raley, Brooks",NYM,LHP,"$6,500,000",1,"$6,500,000","$6,500,000"
"Ruiz, Keibert",WSH,C,"$6,375,000",8,"$50,000,000","$6,250,000"
"Mullins, Cedric",BAL,OF,"$6,325,000",1,"$6,325,000","$6,325,000"
"Hays, Austin",BAL,OF,"$6,300,000",1,"$6,300,000","$6,300,000"
"Leclerc, Jose",TEX,RHP,"$6,250,000",1,"$6,250,000","$6,250,000"
"Maton, Phil",TB,RHP,"$6,250,000",1,"$6,250,000","$6,250,000"
"Carpenter, Matt",STL,DH,"$6,240,000",2,"$12,000,000","$6,000,000"
"Minter, A.J.",ATL,LHP,"$6,220,000",1,"$6,220,000","$6,220,000"
"Farmer, Kyle",MIN,2B,"$6,050,000",1,"$6,050,000","$6,050,000"
"Caratini, Victor",HOU,C,"$6,000,000",2,"$12,000,000","$6,000,000"
"Garcia, Yimi",TOR,RHP,"$6,000,000",1,"$6,000,000","$6,000,000"
"Gomes, Yan",CHC,C,"$6,000,000",1,"$6,000,000","$6,000,000"
"Diaz, Elias",COL,C,"$6,000,000",3,"$14,500,000","$4,833,333.33"
"Holmes, Clay",NYY,RHP,"$6,000,000",1,"$6,000,000","$6,000,000"
"O'Neill, Tyler",BOS,OF,"$5,850,000",1,"$5,850,000","$5,850,000"
"Gallegos, Giovanny",STL,RHP,"$5,750,000",1,"$5,750,000","$5,750,000"
"Rojas, Miguel",LAD,SS,"$5,750,000",1,"$5,750,000","$5,750,000"
"Kahnle, Tommy",NYY,RHP,"$5,750,000",3,"$14,500,000","$4,833,333"
"Peralta, Freddy",MIL,RHP,"$5,734,960",5,"$15,500,000","$3,100,000"
"Scott, Tanner",MIA,LHP,"$5,700,000",1,"$5,700,000","$5,700,000"
"Varsho, Daulton",TOR,OF,"$5,650,000",1,"$5,650,000","$5,650,000"
"Gimenez, Andres",CLE,2B,"$5,571,429",7,"$106,500,000","$15,214,286"
"Bummer, Aaron",ATL,LHP,"$5,500,000",5,"$16,000,000","$3,200,000"
"Luzardo, Jesus",MIA,LHP,"$5,500,000",1,"$5,500,000","$5,500,000"
"Mahle, Tyler",TEX,RHP,"$5,500,000",2,"$22,000,000","$11,000,000"
"Renfroe, Hunter",KC,OF,"$5,500,000",2,"$13,000,000","$6,500,000"
"Grisham, Trent",NYY,OF,"$5,500,000",1,"$5,500,000","$5,500,000"
"Thomas, Lane",WSH,OF,"$5,450,000",1,"$5,450,000","$5,450,000"
"Keller, Mitch",PIT,RHP,"$5,442,500",5,"$77,000,000","$15,400,000"
"Gonsolin, Anthony",LAD,RHP,"$5,400,000",1,"$5,400,000","$5,400,000"
"Springs, Jeffrey",TB,LHP,"$5,250,000",4,"$31,000,000","$7,750,000"
"Santana, Carlos",MIN,1B,"$5,250,000",1,"$5,250,000","$5,250,000"
"Jansen, Danny",TOR,C,"$5,200,000",1,"$5,200,000","$5,200,000"
"Laureano, Ramon",CLE,OF,"$5,150,000",1,"$5,150,000","$5,150,000"
"Finnegan, Kyle",WSH,RHP,"$5,100,000",1,"$5,100,000","$5,100,000"
"Houser, Adrian",NYM,RHP,"$5,050,000",1,"$5,050,000","$5,050,000"
"Suarez, Ranger",PHI,LHP,"$5,050,000",1,"$5,050,000","$5,050,000"
"Sandoval, Patrick",LAA,LHP,"$5,025,000",1,"$5,025,000","$5,025,000"
"Harris II, Mike",ATL,OF,"$5,000,000",8,"$72,000,000","$9,000,000"
"Middleton, Keynan",STL,RHP,"$5,000,000",1,"$5,000,000","$5,000,000"
"Castro, Miguel",ARI,RHP,"$5,000,000",1,"$5,000,000","$5,000,000"
"Peterson, Jace",ARI,INF,"$5,000,000",2,"$9,500,000","$4,750,000"
"Kershaw, Clayton",LAD,LHP,"$5,000,000",2,"$10,000,000","$5,000,000"
"Urias, Luis",SEA,2B,"$5,000,000",1,"$5,000,000","$5,000,000"
"Anderson, Tim",MIA,SS,"$5,000,000",1,"$5,000,000","$5,000,000"
"Soto, Gregory",PHI,LHP,"$5,000,000",1,"$5,000,000","$5,000,000"
"McCutchen, Andrew",PIT,OF,"$5,000,000",1,"$5,000,000","$5,000,000"
"Smith, Will",KC,LHP,"$5,000,000",1,"$5,000,000","$5,000,000"
"Civale, Aaron",TB,RHP,"$4,900,000",1,"$4,900,000","$4,900,000"
"Singer, Brady",KC,RHP,"$4,850,000",1,"$4,850,000","$4,850,000"
"Ward, Taylor",LAA,OF,"$4,800,000",1,"$4,800,000","$4,800,000"
"Garcia, Adolis",TEX,OF,"$4,750,000",2,"$14,000,000","$7,000,000"
"Estrada, Thairo",SF,2B,"$4,700,000",1,"$4,700,000","$4,700,000"
"Bednar, David",PIT,RHP,"$4,510,000",1,"$4,510,000","$4,510,000"
"Brasier, Ryan",LAD,RHP,"$4,500,000",2,"$9,000,000","$4,500,000"
"Ottavino, Adam",NYM,RHP,"$4,500,000",2,"$14,500,000","$7,250,000"
"Lorenzen, Michael",TEX,RHP,"$4,500,000",1,"$4,500,000","$4,500,000"
"Yates, Kirby",TEX,RHP,"$4,500,000",1,"$4,500,000","$4,500,000"
"Rengifo, Luis",LAA,2B,"$4,400,000",1,"$4,400,000","$4,400,000"
"Lopez, Nicky",CWS,2B,"$4,300,000",1,"$4,300,000","$4,300,000"
"Garcia, Luis",LAA,RHP,"$4,250,000",1,"$4,250,000","$4,250,000"
"Dominguez, Seranthony",PHI,RHP,"$4,250,000",1,"$4,250,000","$4,250,000"
"Chafin, Andrew",DET,LHP,"$4,250,000",1,"$4,250,000","$4,250,000"
"Biggio, Cavan",TOR,2B,"$4,210,000",1,"$4,210,000","$4,210,000"
"Mountcastle, Ryan",BAL,DH,"$4,137,000",1,"$4,137,000","$4,137,000"
"Gilbert, Logan",SEA,RHP,"$4,050,000",1,"$4,050,000","$4,050,000"
"Lopez, Reynaldo",ATL,RHP,"$4,000,000",3,"$30,000,000","$10,000,000"
"Junis, Jakob",MIL,RHP,"$4,000,000",1,"$4,000,000","$4,000,000"
"Steele, Justin",CHC,LHP,"$4,000,000",1,"$4,000,000","$4,000,000"
"Hernandez, Kike",LAD,INF,"$4,000,000",1,"$4,000,000","$4,000,000"
"Phillips, Evan",LAD,RHP,"$4,000,000",1,"$4,000,000","$4,000,000"
"Murphy, Tom",SF,C,"$4,000,000",2,"$8,250,000","$4,125,000"
"Slater, Austin",SF,OF,"$4,000,000",1,"$4,000,000","$4,000,000"
"Hedges, Austin",CLE,C,"$4,000,000",1,"$4,000,000","$4,000,000"
"Stanek, Ryne",SEA,RHP,"$4,000,000",1,"$4,000,000","$4,000,000"
"Diekman, Jake",NYM,LHP,"$4,000,000",1,"$4,000,000","$4,000,000"
"Rosario, Eddie",WSH,OF,"$4,000,000",1,"$4,000,000","$4,000,000"
"Bohm, Alec",PHI,3B,"$4,000,000",1,"$4,000,000","$4,000,000"
"Taylor, Michael A.",PIT,OF,"$4,000,000",1,"$4,000,000","$4,000,000"
"Brebbia, John",CWS,RHP,"$4,000,000",1,"$4,000,000","$4,000,000"
"Maldonado, Martin",CWS,C,"$4,000,000",1,"$4,000,000","$4,000,000"
"Cortes, Nestor",NYY,LHP,"$3,950,000",1,"$3,950,000","$3,950,000"
"Yarbrough, Ryan",LAD,LHP,"$3,900,000",1,"$3,900,000","$3,900,000"
"Fairbanks, Pete",TB,RHP,"$3,816,667",1,"$3,816,667","$3,816,667"
"Helsley, Ryan",STL,RHP,"$3,800,000",1,"$3,800,000","$3,800,000"
"Ramirez, Harold",TB,OF,"$3,800,000",1,"$3,800,000","$3,800,000"
