Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Eric Haase,MIL,C,32,30,66,10,18,1,0,5,14,0,0,3,28,0,0,0,.273,.304,.515,.819
Jon Berti,NYY,3B,35,25,66,10,18,0,0,1,6,5,1,6,14,1,0,1,.273,.342,.318,.660
Omar Narvaez,NYM,C,33,28,65,4,10,2,0,0,5,0,0,3,12,1,0,0,.154,.191,.185,.376
Emmanuel Rivera,BAL,3B,28,27,64,9,20,3,1,4,14,0,0,6,18,0,2,1,.313,.370,.578,.948
Braden Shewmake,CWS,SS,27,29,64,4,8,2,0,1,4,5,1,1,10,0,2,0,.125,.134,.203,.337
Alan Trejo,COL,SS,28,28,63,4,9,0,0,0,1,0,0,2,15,1,0,1,.143,.182,.143,.325
Bryce Johnson,SD,OF,29,47,63,9,13,2,0,0,4,1,1,7,12,3,0,0,.206,.286,.238,.524
Brian Serven,TOR,C,29,28,63,6,10,4,0,0,3,0,0,5,22,1,0,2,.159,.243,.222,.465
Ryan Bliss,SEA,2B,25,33,63,10,14,3,1,2,9,5,3,5,22,2,0,1,.222,.290,.397,.687
Zach Dezenzo,HOU,1B,24,19,62,5,15,2,0,2,8,0,0,3,22,0,0,0,.242,.277,.371,.648
Nasim Nunez,WSH,SS,24,51,61,14,15,1,0,0,1,8,2,12,15,5,0,0,.246,.370,.262,.632
Mike Ford,CIN,DH,32,17,60,2,9,0,1,1,4,0,0,2,15,0,0,0,.150,.177,.233,.410
Pablo Reyes,BOS,SS,31,21,60,4,11,2,0,0,5,1,2,3,19,0,0,1,.183,.234,.217,.451
Cristian Pache,MIA,OF,26,35,60,4,11,3,0,1,7,1,0,4,21,0,0,0,.183,.234,.283,.517
Kevin Kiermaier,LAD,OF,34,34,59,7,12,2,1,1,8,1,2,2,20,2,0,1,.203,.242,.322,.564
Ryan Kreidler,DET,SS,27,35,59,9,7,0,0,1,2,5,3,6,19,0,0,0,.119,.200,.169,.369
David Dahl,PHI,OF,30,19,58,6,12,2,0,3,8,0,0,3,21,0,1,0,.207,.242,.397,.639
Ben Gamel,HOU,OF,32,20,58,13,15,3,0,1,4,0,0,11,17,0,0,0,.259,.377,.362,.739
Christian Bethancourt,CHC,C,33,24,57,9,16,4,0,3,15,3,0,2,14,0,0,0,.281,.305,.509,.814
Aaron Hicks,LAA,OF,35,18,57,6,8,0,0,1,5,0,0,6,23,0,0,0,.140,.222,.193,.415
Amed Rosario,CIN,2B,29,22,57,6,9,0,0,1,4,3,0,1,23,0,0,1,.158,.186,.211,.397
