Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Logan Gilbert,SEA,27,33,33,1,0,208.2,148,75,220,37,26,9,12,0,0,0,3.23,0.89
Seth Lugo,KC,35,33,33,1,0,206.2,177,69,181,48,16,16,9,0,0,0,3.00,1.09
Logan Webb,SF,28,33,33,1,1,204.2,202,79,172,50,11,13,10,0,0,0,3.47,1.23
Zack Wheeler,PHI,34,32,32,0,0,200.0,139,57,224,52,20,16,7,0,0,0,2.57,0.95
Aaron Nola,PHI,31,33,33,1,1,199.1,189,79,197,50,30,14,8,0,0,0,3.57,1.20
Corbin Burnes,BAL,30,32,32,0,0,194.1,165,63,181,48,22,15,9,0,0,0,2.92,1.10
Jose Berrios,TOR,30,32,32,1,0,192.1,168,77,153,54,31,16,11,0,0,0,3.60,1.15
Tarik Skubal,DET,28,31,31,0,0,192.0,142,51,228,35,15,18,4,0,0,0,2.39,0.92
George Kirby,SEA,27,33,33,0,0,191.0,181,75,179,23,22,14,11,0,0,0,3.53,1.07
Dylan Cease,SD,29,33,33,1,1,189.1,137,73,224,65,18,14,11,0,0,0,3.47,1.07
Jake Irvin,WSH,28,33,33,0,0,187.2,173,92,156,52,29,10,14,0,0,0,4.41,1.20
Cole Ragans,KC,27,32,32,1,0,186.1,146,65,223,67,15,11,9,0,0,0,3.14,1.14
Pablo Lopez,MIN,28,32,32,0,0,185.1,180,84,198,41,26,15,10,0,0,0,4.08,1.19
Kutter Crawford,BOS,28,33,33,0,0,183.2,155,89,175,51,34,9,16,0,0,0,4.36,1.12
Luis Severino,NYM,31,31,31,1,1,182.0,166,79,161,60,23,11,7,0,0,0,3.91,1.24
Sean Manaea,NYM,33,32,32,0,0,181.2,134,70,184,63,21,12,6,0,0,0,3.47,1.08
Cristopher Sanchez,PHI,28,31,31,2,1,181.2,182,67,153,44,11,11,9,0,0,0,3.32,1.24
Brandon Pfaadt,ARI,26,32,32,0,0,181.2,183,95,185,42,24,11,10,0,0,0,4.71,1.24
Kevin Gausman,TOR,34,31,31,2,1,181.0,165,77,162,56,20,14,11,0,0,0,3.83,1.22
JP Sears,OAK,29,32,32,0,0,180.2,172,88,137,49,28,11,13,0,0,0,4.38,1.22
Bryce Miller,SEA,26,31,31,0,0,180.1,131,59,171,45,21,12,8,0,0,0,2.94,0.98
Brady Singer,KC,28,32,32,0,0,179.2,175,74,170,54,22,9,13,0,0,0,3.71,1.27
Tyler Anderson,LAA,35,31,31,0,0,179.1,158,76,142,73,24,10,15,0,0,0,3.81,1.29
Bailey Ober,MIN,29,31,31,1,0,178.2,136,79,191,43,27,12,9,0,0,0,3.98,1.00
Tanner Houck,BOS,28,30,30,1,1,178.2,156,62,154,48,11,9,10,0,0,0,3.12,1.14
Mitch Keller,PIT,28,31,31,1,0,178.0,182,84,166,50,23,11,12,0,0,0,4.25,1.30
Chris Sale,ATL,35,29,29,0,0,177.2,141,47,225,39,9,18,3,0,0,0,2.38,1.01
Framber Valdez,HOU,31,28,28,1,0,176.1,140,57,169,55,13,15,7,0,0,0,2.91,1.11
Luis Castillo,SEA,32,30,30,0,0,175.1,158,71,175,47,25,11,12,0,0,0,3.64,1.17
Carlos Rodon,NYY,32,32,32,0,0,175.0,157,77,195,57,31,16,9,0,0,0,3.96,1.22
Patrick Corbin,WSH,35,32,32,0,0,174.2,208,109,139,54,25,6,13,0,0,0,5.62,1.50
Max Fried,ATL,31,29,29,2,1,174.1,146,63,166,57,13,11,10,0,0,0,3.25,1.16
Nestor Cortes,NYY,30,31,30,0,0,174.1,162,73,162,39,24,9,10,0,0,0,3.77,1.15
Michael King,SD,29,31,30,0,0,173.2,144,57,201,63,17,13,9,0,0,0,2.95,1.19
Freddy Peralta,MIL,28,32,32,0,0,173.2,143,71,200,68,26,11,9,0,0,0,3.68,1.21
Tanner Bibee,CLE,26,31,31,0,0,173.2,150,67,187,44,22,12,8,0,0,0,3.47,1.12
Shota Imanaga,CHC,31,29,29,0,0,173.1,149,56,174,28,27,15,3,0,0,0,2.91,1.02
Miles Mikolas,STL,36,32,32,0,0,171.2,194,102,122,25,26,10,11,0,0,0,5.35,1.28
Griffin Canning,LAA,28,32,31,0,0,171.2,174,99,130,66,31,6,13,0,0,0,5.19,1.40
Chris Bassitt,TOR,36,31,31,0,0,171.0,180,79,168,70,18,10,14,0,0,0,4.16,1.46
Nathan Eovaldi,TEX,35,29,29,0,0,170.2,147,72,166,42,23,12,8,0,0,0,3.80,1.11
Jose Quintana,NYM,36,31,31,0,0,170.1,150,71,135,63,22,10,10,0,0,0,3.75,1.25
Hunter Brown,HOU,26,31,30,0,0,170.0,156,66,179,60,18,11,9,0,0,0,3.49,1.27
Kyle Gibson,STL,37,30,30,0,0,169.2,161,80,151,68,23,8,8,0,0,0,4.24,1.35
Colin Rea,MIL,34,32,27,0,0,167.2,169,80,135,43,29,12,6,1,0,1,4.29,1.26
Ronel Blanco,HOU,31,30,29,1,1,167.1,114,52,166,68,22,13,6,0,0,0,2.80,1.09
Michael Wacha,KC,33,29,29,0,0,166.2,154,62,145,45,17,13,8,0,0,0,3.35,1.19
Sonny Gray,STL,35,28,28,0,0,166.1,142,71,203,39,21,13,9,0,0,0,3.84,1.09
MacKenzie Gore,WSH,26,32,32,0,0,166.1,171,72,181,65,15,10,12,0,0,0,3.90,1.42
Jameson Taillon,CHC,33,28,28,0,0,165.1,154,60,125,33,21,12,8,0,0,0,3.27,1.13
Charlie Morton,ATL,41,30,30,0,0,165.1,154,77,167,65,23,8,10,0,0,0,4.19,1.32
Austin Gomber,COL,31,30,30,0,0,165.0,178,87,116,38,30,5,12,0,0,0,4.75,1.31
Brayan Bello,BOS,25,30,30,0,0,162.1,157,81,153,64,19,14,8,0,0,0,4.49,1.36
Ryan Feltner,COL,28,30,30,0,0,162.1,165,81,138,52,20,3,10,0,0,0,4.49,1.34
Chris Flexen,CWS,30,33,30,0,0,160.0,180,88,123,63,24,3,15,0,0,0,4.95,1.52
Andrew Heaney,TEX,33,32,31,0,0,160.0,159,76,159,41,23,5,14,0,0,0,4.28,1.25
Zack Littell,TB,29,29,29,0,0,156.1,164,63,141,31,22,8,10,0,0,0,3.63,1.25
Marcus Stroman,NYY,33,30,29,0,0,154.2,167,74,113,60,19,10,9,1,0,0,4.31,1.47
Luis Gil,NYY,26,29,29,0,0,151.2,104,59,171,77,18,15,7,0,0,0,3.50,1.19
Mitch Spence,OAK,26,35,24,0,0,151.1,165,77,126,44,20,8,10,0,0,1,4.58,1.38
Mitchell Parker,WSH,25,29,29,0,0,151.0,154,72,133,43,18,7,10,0,0,0,4.29,1.30
Ben Lively,CLE,33,29,29,0,0,151.0,139,64,118,49,23,13,10,0,0,0,3.81,1.25
Ranger Suarez,PHI,29,27,27,1,1,150.2,140,58,145,41,14,12,8,0,0,0,3.46,1.20
Ryne Nelson,ARI,27,28,25,0,0,150.2,155,71,126,34,17,10,6,1,0,0,4.24,1.25
Hunter Greene,CIN,25,26,26,0,0,150.1,96,46,169,57,12,9,5,0,0,0,2.75,1.02
Cal Quantrill,COL,30,29,29,0,0,148.1,156,82,110,69,23,8,11,0,0,0,4.98,1.52
Zac Gallen,ARI,29,28,28,0,0,148.0,133,60,156,54,13,14,6,0,0,0,3.65,1.26
Javier Assad,CHC,27,29,29,0,0,147.0,143,61,124,63,20,7,6,0,0,0,3.73,1.40
Matt Waldron,SD,28,27,26,0,0,146.2,145,80,133,40,21,7,11,0,0,0,4.91,1.26
Garrett Crochet,CWS,25,32,32,0,0,146.0,123,58,209,33,18,6,12,0,0,0,3.58,1.07
Nick Pivetta,BOS,32,27,26,0,0,145.2,128,67,172,36,28,6,12,0,0,0,4.14,1.13
Spencer Arrighetti,HOU,25,29,28,0,0,145.0,139,73,171,65,21,7,13,0,0,0,4.53,1.41
Nick Martinez,CIN,34,42,16,1,0,142.1,128,49,116,18,13,10,7,0,0,6,3.10,1.03
Bailey Falter,PIT,27,28,28,0,0,142.1,138,70,97,45,17,8,9,0,0,0,4.43,1.29
Gavin Stone,LAD,26,25,25,1,1,140.1,133,55,116,37,18,11,5,0,0,0,3.53,1.21
Andrew Abbott,CIN,25,25,25,0,0,138.0,127,57,114,52,25,10,10,0,0,0,3.72,1.30
Tobias Myers,MIL,26,27,25,0,0,138.0,126,46,127,36,18,9,6,0,0,0,3.00,1.17
Taj Bradley,TB,23,25,25,0,0,138.0,122,63,154,47,22,8,11,0,0,0,4.11,1.22
Reynaldo Lopez,ATL,31,26,25,0,0,135.2,108,30,148,42,10,8,5,0,0,1,1.99,1.11
Luis L. Ortiz,PIT,26,37,15,0,0,135.2,109,50,107,42,16,7,6,1,2,1,3.32,1.11
Joe Ryan,MIN,28,23,23,0,0,135.0,110,54,147,23,19,7,7,0,0,0,3.60,0.99
Justin Steele,CHC,29,24,24,1,0,134.2,111,46,135,37,12,5,5,0,0,0,3.07,1.10
Tyler Glasnow,LAD,31,22,22,0,0,134.0,92,52,168,35,15,9,6,0,0,0,3.49,0.95
Albert Suarez,BAL,35,32,24,0,0,133.2,130,55,108,43,17,9,7,0,1,1,3.70,1.29
Simeon Woods Richardson,MIN,24,28,28,0,0,133.2,125,62,117,48,16,5,5,0,0,0,4.17,1.29
Paul Skenes,PIT,22,23,23,0,0,133.0,94,29,170,32,10,11,3,0,0,0,1.96,0.95
Kyle Hendricks,CHC,35,29,24,0,0,130.2,147,86,87,43,21,4,12,0,0,0,5.92,1.45
Ryan Pepiot,TB,27,26,26,0,0,130.0,102,52,142,48,17,8,8,0,0,0,3.60,1.15
Dean Kremer,BAL,29,24,24,0,0,129.2,110,59,123,51,18,8,10,0,0,0,4.10,1.24
Alec Marsh,KC,26,26,25,0,0,129.0,123,65,123,39,19,9,9,0,0,0,4.53,1.26
Joey Estes,OAK,23,25,24,1,1,127.2,130,71,92,27,23,7,9,0,0,1,5.01,1.23
Kyle Harrison,SF,23,24,24,0,0,124.1,125,63,118,42,18,7,7,0,0,0,4.56,1.34
Jonathan Cannon,CWS,24,23,21,0,0,124.1,125,62,91,40,18,5,10,1,0,0,4.49,1.33
Spencer Schwellenbach,ATL,24,21,21,0,0,123.2,106,46,127,23,14,8,7,0,0,0,3.35,1.04
Jared Jones,PIT,23,22,22,0,0,121.2,106,56,132,39,18,6,8,0,0,0,4.14,1.19
Erick Fedde,CWS,32,21,21,0,0,121.2,105,42,108,34,14,7,4,0,0,0,3.11,1.14
Andre Pallante,STL,26,29,20,0,0,121.1,110,51,94,48,8,8,8,0,0,1,3.78,1.30
Bryan Woo,SEA,25,22,22,0,0,121.1,96,39,101,13,14,9,3,0,0,0,2.89,0.90
David Peterson,NYM,29,21,21,0,0,121.0,110,39,101,46,8,10,3,0,0,0,2.90,1.29
Lance Lynn,STL,37,23,23,0,0,117.1,113,50,109,44,16,7,4,0,0,0,3.84,1.34
Jordan Montgomery,ARI,32,25,21,0,0,117.0,149,81,83,44,14,8,7,1,0,0,6.23,1.65
Grayson Rodriguez,BAL,25,20,20,0,0,116.2,109,50,130,36,15,13,4,0,0,0,3.86,1.24
Yusei Kikuchi,TOR,33,22,22,0,0,115.2,125,61,130,30,17,4,9,0,0,0,4.75,1.34
Nick Lodolo,CIN,27,21,21,0,0,115.1,101,61,122,37,13,9,6,0,0,0,4.76,1.20
Kyle Freeland,COL,31,21,21,0,0,113.1,134,66,85,26,22,5,8,0,0,0,5.24,1.41
Jose Soriano,LAA,26,22,20,0,0,113.0,91,43,97,45,8,6,7,0,0,1,3.42,1.20
Kenta Maeda,DET,36,29,17,0,0,112.1,124,76,96,31,22,3,7,0,0,0,6.09,1.38
Reese Olson,DET,25,22,22,0,0,112.1,100,44,101,33,7,4,8,0,0,0,3.53,1.18
Zach Eflin,TB,30,19,19,0,0,110.0,115,50,87,13,14,5,7,0,0,0,4.09,1.16
Jordan Hicks,SF,28,29,20,0,0,109.2,112,50,96,47,12,4,7,1,0,2,4.10,1.45
Jose Urena,TEX,33,33,9,0,0,109.0,105,46,70,39,13,5,8,1,0,1,3.80,1.32
Tyler Alexander,TB,30,23,9,0,0,107.2,110,61,90,24,23,6,5,0,0,0,5.10,1.24
Cole Irvin,BAL,31,25,16,0,0,107.1,126,58,76,25,17,6,5,1,0,1,4.86,1.41
Jack Flaherty,DET,29,18,18,0,0,106.2,83,35,133,19,15,7,5,0,0,0,2.95,0.96
Trevor Rogers,MIA,27,21,21,0,0,105.1,115,53,85,46,12,2,9,0,0,0,4.53,1.53
Bryse Wilson,MIL,27,34,9,0,0,104.2,102,47,82,31,20,5,4,0,0,0,4.04,1.27
Blake Snell,SF,32,20,20,1,1,104.0,65,36,145,44,6,5,3,0,0,0,3.12,1.05
Bowden Francis,TOR,28,27,13,0,0,103.2,74,38,92,22,17,8,5,0,0,0,3.30,0.93
Carlos Carrasco,CLE,37,21,21,0,0,103.2,112,65,89,33,19,3,10,0,0,0,5.64,1.40
Jon Gray,TEX,33,23,19,0,0,102.2,107,51,86,28,11,5,6,0,0,0,4.47,1.31
Casey Mize,DET,27,22,20,0,0,102.1,121,51,78,29,11,2,6,0,0,0,4.49,1.47
Michael Lorenzen,TEX,33,19,18,0,0,101.2,82,43,75,48,15,5,6,0,0,0,3.81,1.28
Joe Musgrove,SD,32,19,19,0,0,99.2,94,43,101,23,14,6,5,0,0,0,3.88,1.17
Cooper Criswell,BOS,28,26,18,0,0,99.1,103,45,73,31,10,6,5,0,0,0,4.08,1.35
Keider Montero,DET,24,19,16,1,1,98.1,100,52,77,31,19,6,6,0,0,0,4.76,1.33
Randy Vasquez,SD,26,20,20,0,0,98.0,119,53,62,29,13,4,7,0,0,0,4.87,1.51
Logan Allen,CLE,26,20,20,0,0,97.1,113,62,79,41,22,8,5,0,0,0,5.73,1.58
Edward Cabrera,MIA,26,20,20,0,0,96.1,82,53,107,50,15,4,8,0,0,0,4.95,1.37
Gerrit Cole,NYY,34,17,17,0,0,95.0,78,36,99,29,11,8,5,0,0,0,3.41,1.13
Dane Dunning,TEX,30,26,15,0,0,95.0,97,56,91,40,18,5,7,0,0,0,5.31,1.44
Tyler Holton,DET,28,66,9,0,0,94.1,57,23,77,17,7,7,2,8,0,14,2.19,0.78
Frankie Montas,CIN,31,19,19,0,0,93.1,93,52,78,41,14,4,8,0,0,0,5.01,1.44
Carson Spiers,CIN,27,22,10,0,0,90.2,112,55,80,27,20,5,7,0,0,0,5.46,1.53
Justin Verlander,HOU,42,17,17,0,0,90.1,98,55,74,27,15,5,6,0,0,0,5.48,1.38
Yoshinobu Yamamoto,LAD,26,18,18,0,0,90.0,78,30,105,22,7,7,2,0,0,0,3.00,1.11
Derek Law,WSH,34,75,0,0,0,90.0,82,26,76,24,7,7,4,1,4,17,2.60,1.18
James Paxton,LAD,36,18,18,0,0,89.1,82,44,64,48,11,8,2,0,0,0,4.43,1.46
Dakota Hudson,COL,30,18,18,0,0,89.0,99,61,49,50,11,2,12,0,0,0,6.17,1.67
DJ Herz,WSH,24,19,19,0,0,88.2,76,41,106,36,11,4,9,0,0,0,4.16,1.26
Chris Paddack,MIN,29,17,17,0,0,88.1,102,49,79,21,14,5,3,0,0,0,4.99,1.39
Reid Detmers,LAA,25,17,17,0,0,87.1,98,65,109,38,18,4,9,0,0,0,6.70,1.56
Aaron Civale,TB,29,17,17,0,0,87.0,93,49,84,27,16,2,6,0,0,0,5.07,1.38
Ryan Weathers,MIA,25,16,16,0,0,86.2,78,35,80,24,11,5,6,0,0,0,3.63,1.18
Carson Fulmer,LAA,31,37,8,0,0,86.2,81,40,81,40,11,0,5,0,1,0,4.15,1.40
Yariel Rodriguez,TOR,27,21,21,0,0,86.2,74,43,85,40,11,1,8,0,0,0,4.47,1.32
Matthew Liberatore,STL,25,60,6,0,0,86.0,81,42,76,28,11,3,4,0,2,7,4.40,1.27
Clarke Schmidt,NYY,29,16,16,0,0,85.1,71,27,93,30,8,5,5,0,0,0,2.85,1.18
Ross Stripling,OAK,35,22,14,0,0,85.1,109,57,49,22,7,2,11,0,0,1,6.01,1.54
Luke Weaver,NYY,31,62,0,0,0,84.0,52,27,103,26,10,7,3,4,0,23,2.89,0.93
Taijuan Walker,PHI,32,19,15,0,0,83.2,107,66,58,37,24,3,7,0,0,0,7.10,1.72
Martin Perez,PIT,33,16,16,0,0,83.0,105,48,63,32,13,2,5,0,0,0,5.20,1.65
Roddery Munoz,MIA,24,18,17,0,0,82.2,89,60,70,42,26,2,7,0,0,0,6.53,1.58
Yu Darvish,SD,38,16,16,0,0,81.2,65,30,78,22,12,7,3,0,0,0,3.31,1.07
Sean Hjelle,SF,27,58,0,0,0,80.2,84,35,75,14,10,3,4,0,0,7,3.90,1.21
Ryan Walker,SF,29,76,1,0,0,80.0,50,17,99,18,5,10,4,10,4,22,1.91,0.85
Cade Povich,BAL,24,16,16,0,0,79.2,80,46,69,34,12,3,9,0,0,0,5.20,1.43
Patrick Sandoval,LAA,28,16,16,0,0,79.2,85,45,81,35,8,2,8,0,0,0,5.08,1.51
Michael Soroka,CWS,27,25,9,0,0,79.2,66,42,84,44,13,0,10,0,1,2,4.74,1.38
Shane Baz,TB,25,14,14,0,0,79.1,57,27,69,27,9,4,3,0,0,0,3.06,1.06
Keegan Akin,BAL,29,66,0,0,0,78.2,55,29,97,19,9,3,1,1,3,6,3.32,0.94
Bryan Abreu,HOU,27,78,0,0,0,78.1,59,27,103,32,9,3,3,1,7,38,3.10,1.16
Tylor Megill,NYM,29,16,15,0,0,78.0,70,35,91,32,8,4,5,0,0,0,4.04,1.31
Graham Ashcraft,CIN,27,15,15,0,0,77.1,89,45,57,27,11,5,5,0,0,0,5.24,1.50
Slade Cecconi,ARI,25,20,13,0,0,77.0,92,57,64,17,16,2,7,0,0,0,6.66,1.42
Cody Bradford,TEX,27,14,13,0,0,76.1,64,30,70,13,10,6,3,0,0,0,3.54,1.01
Gavin Williams,CLE,25,16,16,0,0,76.0,72,41,79,32,7,3,10,0,0,0,4.86,1.37
Josh Winckowski,BOS,26,40,6,0,0,76.0,81,35,60,26,10,4,2,2,1,5,4.14,1.41
Triston McKenzie,CLE,27,16,16,0,0,75.2,69,43,74,49,19,3,5,0,0,0,5.11,1.56
Walker Buehler,LAD,30,16,16,0,0,75.1,89,45,64,28,16,1,6,0,0,0,5.38,1.55
Cade Smith,CLE,25,74,0,0,0,75.1,51,16,103,17,1,6,1,1,2,26,1.91,0.90
Pedro Avila,CLE,28,50,0,0,0,74.2,68,27,73,30,7,5,1,1,0,2,3.25,1.31
Hunter Gaddis,CLE,26,78,0,0,0,74.2,43,13,66,14,4,6,3,0,5,34,1.57,0.76
Emmanuel Clase,CLE,26,74,0,0,0,74.1,39,5,66,10,2,4,2,47,3,0,0.61,0.66
Aaron Civale,MIL,29,14,14,0,0,74.0,65,29,65,25,13,6,3,0,0,0,3.53,1.22
Joe Ross,MIL,31,25,10,0,0,74.0,72,31,66,29,7,3,6,0,0,0,3.77,1.36
Jose Butto,NYM,26,30,7,0,0,74.0,41,21,79,38,6,7,3,3,3,4,2.55,1.07
Victor Vodnik,COL,25,64,0,0,0,73.2,72,35,65,37,7,5,4,9,6,7,4.28,1.48
Merrill Kelly,ARI,36,13,13,0,0,73.2,67,33,63,19,11,5,1,0,0,0,4.03,1.17
Hunter Strickland,LAA,36,72,0,0,0,73.1,56,27,57,24,10,3,2,1,3,12,3.31,1.09
Jared Shuster,CWS,26,39,4,0,0,73.1,74,35,56,33,9,2,5,0,2,3,4.30,1.46
Justin Martinez,ARI,23,64,0,0,0,72.2,59,20,91,36,2,5,6,8,2,7,2.48,1.31
Trent Thornton,SEA,31,71,0,0,0,72.1,63,29,77,19,8,4,3,1,0,10,3.61,1.13
Hogan Harris,OAK,28,21,9,0,0,72.1,65,23,61,33,7,4,4,0,0,0,2.86,1.35
Hayden Birdsong,SF,23,16,16,0,0,72.0,57,38,88,43,11,5,6,0,0,0,4.75,1.39
David Robertson,TEX,39,68,0,0,0,72.0,53,24,99,27,5,3,4,2,8,35,3.00,1.11
Cole Sands,MIN,27,62,0,0,0,71.1,59,26,85,12,6,9,1,4,3,6,3.28,1.00
Ty Blach,COL,34,20,12,0,0,71.1,103,55,36,18,17,3,8,0,1,0,6.94,1.70
Buck Farmer,CIN,34,61,1,0,0,71.0,56,24,70,29,7,3,2,1,1,1,3.04,1.20
Josh Hader,HOU,30,71,0,0,0,71.0,43,30,105,25,12,8,8,34,4,0,3.80,0.96
Griffin Jax,MIN,30,72,0,0,0,71.0,47,16,95,15,4,5,5,10,6,24,2.03,0.87
Andrew Kittredge,STL,34,74,0,0,0,70.2,60,22,67,20,10,5,5,1,7,37,2.80,1.13
Kevin Kelly,TB,27,68,0,0,0,70.2,59,21,63,9,7,5,2,1,3,17,2.67,0.96
Tyler Rogers,SF,34,77,0,0,0,70.1,67,22,51,6,7,3,4,1,2,33,2.82,1.04
Will Vest,DET,29,69,0,0,0,70.1,61,22,63,18,3,3,4,2,6,14,2.82,1.12
Declan Cronin,MIA,27,56,0,0,0,70.1,75,34,72,25,1,3,4,0,1,8,4.35,1.42
Kevin Ginkel,ARI,30,72,0,0,0,70.0,69,25,77,15,6,8,3,5,6,18,3.21,1.20
Adrian Houser,NYM,32,23,7,0,0,69.1,74,45,45,32,8,1,5,1,0,1,5.84,1.53
Raisel Iglesias,ATL,35,66,0,0,0,69.1,38,15,68,13,4,6,2,34,4,0,1.95,0.74
Landon Knack,LAD,27,15,12,0,0,69.0,58,28,69,18,14,3,5,1,0,0,3.65,1.10
Valente Bellozo,MIA,25,13,13,0,0,68.2,69,28,44,21,15,3,4,0,0,0,3.67,1.31
Joe Jimenez,ATL,30,69,0,0,0,68.2,45,20,82,23,2,1,5,3,3,27,2.62,0.99
Tayler Scott,HOU,32,62,1,0,0,68.2,45,17,71,35,7,7,3,0,3,10,2.23,1.17
Grant Holmes,ATL,28,26,7,0,0,68.1,66,27,70,15,7,2,1,0,1,1,3.56,1.19
Hayden Wesneski,CHC,27,28,7,0,0,67.2,56,29,67,21,12,3,6,0,1,2,3.86,1.14
Beau Brieske,DET,26,46,12,0,0,67.2,55,27,69,30,5,4,5,1,1,6,3.59,1.26
Erik Miller,SF,27,73,10,0,0,67.1,50,29,87,38,7,4,5,0,3,14,3.88,1.31
Ryan Yarbrough,LAD,33,32,0,0,0,67.1,52,28,39,25,9,4,2,1,2,1,3.74,1.14
Jose Leclerc,TEX,31,64,0,0,0,66.2,56,32,89,32,7,6,5,1,3,13,4.32,1.32
Jesus Luzardo,MIA,27,12,12,0,0,66.2,61,37,58,22,9,3,6,0,0,0,5.00,1.25
Fernando Cruz,CIN,34,69,3,0,0,66.2,54,36,109,35,9,3,8,0,3,23,4.86,1.34
Trevor Williams,WSH,32,13,13,0,0,66.2,51,15,59,18,3,6,1,0,0,0,2.03,1.04
Ryan Fernandez,STL,26,62,0,0,0,66.2,58,26,71,32,4,1,6,2,3,12,3.51,1.35
Alex Vesia,LAD,28,67,0,0,0,66.1,33,13,87,33,7,5,4,5,2,14,1.76,0.99
Ryan Thompson,ARI,32,67,0,0,0,66.1,64,24,52,15,5,7,5,2,7,24,3.26,1.19
Jeff Hoffman,PHI,32,68,0,0,0,66.1,48,16,89,16,6,3,3,10,3,21,2.17,0.96
Ryan Helsley,STL,30,65,0,0,0,66.1,50,15,79,23,3,7,4,49,4,0,2.04,1.10
Jacob Barnes,WSH,34,63,0,0,0,66.0,67,32,55,20,10,8,3,0,3,2,4.36,1.32
Brent Suter,CIN,35,47,3,0,0,65.2,63,23,50,12,10,1,0,2,0,2,3.15,1.14
Tim Herrin,CLE,28,75,0,0,0,65.2,39,14,68,25,2,5,1,0,2,16,1.92,0.97
Jack Kochanowicz,LAA,24,11,11,0,0,65.1,68,29,25,10,7,2,6,0,0,0,3.99,1.19
Mason Miller,OAK,26,55,0,0,0,65.0,36,18,104,21,6,2,2,28,3,0,2.49,0.88
Robert Suarez,SD,34,65,0,0,0,65.0,52,20,59,16,7,9,3,36,6,1,2.77,1.05
Hoby Milner,MIL,34,61,1,0,0,64.2,63,34,64,14,6,5,1,1,0,5,4.73,1.19
David Festa,MIN,24,14,13,0,0,64.1,62,35,77,23,9,2,6,0,0,0,4.90,1.32
Tyler Kinley,COL,34,67,0,0,0,64.0,61,44,72,33,11,6,1,12,1,15,6.19,1.47
Kyle Finnegan,WSH,33,65,0,0,0,63.2,61,26,60,24,9,3,8,38,5,0,3.68,1.34
Adrian Morejon,SD,26,60,0,0,0,63.2,63,20,71,21,4,3,2,2,2,12,2.83,1.32
Osvaldo Bido,OAK,29,16,9,0,0,63.1,43,24,63,26,3,5,3,0,0,1,3.41,1.09
Greg Weissert,BOS,30,62,0,0,0,63.1,65,22,58,20,7,4,2,1,3,4,3.13,1.34
Jesse Chavez,ATL,41,46,0,0,0,63.1,60,22,55,19,10,2,2,0,1,1,3.13,1.25
Daniel Hudson,LAD,37,65,0,0,0,63.0,46,21,63,19,10,6,2,10,7,17,3.00,1.03
Orion Kerkering,PHI,23,64,2,0,0,63.0,51,16,74,17,2,5,3,0,2,14,2.29,1.08
Clay Holmes,NYY,31,67,0,0,0,63.0,60,22,68,22,4,3,5,30,13,2,3.14,1.30
Genesis Cabrera,TOR,28,69,0,0,0,62.2,63,25,50,29,10,3,3,2,3,13,3.59,1.47
Matt Strahm,PHI,33,66,0,0,0,62.2,36,13,79,11,4,6,2,3,6,18,1.87,0.75
Yuki Matsui,SD,29,64,0,0,0,62.2,46,26,69,27,8,4,2,0,4,9,3.73,1.16
Bryan Hudson,MIL,27,43,0,0,0,62.1,28,12,62,17,7,6,1,0,3,14,1.73,0.72
Jared Koenig,MIL,31,55,6,0,0,62.0,54,17,63,23,4,9,4,1,2,10,2.47,1.24
Aroldis Chapman,PIT,37,68,0,0,0,61.2,44,26,98,39,5,5,5,14,5,22,3.79,1.35
Kirby Yates,TEX,37,61,0,0,0,61.2,23,8,85,28,3,7,2,33,1,2,1.17,0.83
Jose Alvarado,PHI,29,66,0,0,0,61.2,49,28,63,28,6,2,5,13,3,10,4.09,1.25
Peter Lambert,COL,27,28,3,0,0,61.1,73,39,50,29,7,2,5,0,0,0,5.72,1.66
Austin Voth,SEA,32,68,0,0,0,61.0,46,25,61,18,9,2,5,0,2,16,3.69,1.05
Jeremiah Estrada,SD,26,62,0,0,0,61.0,42,20,94,23,4,6,3,1,3,16,2.95,1.07
Emerson Hancock,SEA,25,12,12,0,0,60.2,62,32,39,19,12,4,4,0,0,0,4.75,1.34
Yennier Cano,BAL,30,70,0,0,0,60.0,54,21,65,24,6,4,3,5,3,34,3.15,1.30
John King,STL,30,56,0,0,0,60.0,58,19,38,14,5,3,3,0,2,9,2.85,1.20
Jason Foley,DET,29,69,0,0,0,60.0,51,21,46,20,5,3,6,28,4,8,3.15,1.18
Taylor Rogers,SF,34,64,0,0,0,60.0,53,16,64,22,7,1,4,0,0,5,2.40,1.25
Garrett Cleavinger,TB,30,68,0,0,0,60.0,52,25,71,31,6,7,5,6,2,15,3.75,1.38
Yusei Kikuchi,HOU,33,10,10,0,0,60.0,42,18,76,14,8,5,1,0,0,0,2.70,0.93
Joe Mantiply,ARI,34,75,2,0,0,59.2,52,26,53,18,1,6,2,1,0,16,3.92,1.17
Justin Lawrence,COL,30,56,0,0,0,59.2,73,43,45,33,9,4,4,2,4,5,6.49,1.78
Dylan Lee,ATL,30,52,0,0,0,59.2,49,14,76,17,7,4,2,0,2,9,2.11,1.11
Robert Garcia,WSH,28,72,0,0,0,59.2,55,28,75,16,4,3,6,0,4,13,4.22,1.19
Anthony Molina,COL,23,35,1,0,0,59.2,72,45,41,22,5,1,1,0,2,2,6.79,1.58
Bryce Jarvis,ARI,27,44,0,0,0,59.1,52,21,38,33,6,1,2,0,0,4,3.19,1.43
